Samples,class
1,b'1'
2,b'1'
3,b'1'
4,b'1'
5,b'1'
6,b'1'
7,b'1'
8,b'1'
9,b'1'
10,b'1'
11,b'1'
12,b'1'
13,b'1'
14,b'1'
15,b'1'
16,b'1'
17,b'1'
18,b'1'
19,b'1'
20,b'1'
21,b'1'
22,b'1'
23,b'1'
24,b'1'
25,b'1'
26,b'1'
27,b'1'
28,b'1'
29,b'1'
30,b'1'
31,b'1'
32,b'1'
33,b'1'
34,b'1'
35,b'1'
36,b'1'
37,b'1'
38,b'1'
39,b'1'
40,b'1'
41,b'1'
42,b'1'
43,b'1'
44,b'1'
45,b'1'
46,b'1'
47,b'1'
48,b'1'
49,b'1'
50,b'1'
51,b'1'
52,b'1'
53,b'1'
54,b'1'
55,b'1'
56,b'1'
57,b'1'
58,b'1'
59,b'2'
60,b'2'
61,b'2'
62,b'2'
63,b'2'
64,b'2'
65,b'2'
66,b'2'
67,b'2'
68,b'2'
69,b'2'
70,b'2'
71,b'2'
72,b'2'
73,b'2'
74,b'2'
75,b'2'
76,b'2'
77,b'2'
